,dipder,om,IR_Intensity
0,[1.96560048e-07 2.19442577e-01 0.00000000e+00],(782.466473927762+0j),46.94539580423659
1,[0.00072053 0.00018277 0.04902515],(1137.5451572226102+0j),2.343628923685399
2,[-0.04901996  0.00018402  0.00072604],(1137.5451833155264+0j),2.343141758471915
3,[-1.70286075e-07 -1.75476661e-01  0.00000000e+00],(1538.153238977416+0j),30.01856597255751
4,[ 0.06979554 -0.0003189  -0.00014463],(1628.9832841364923+0j),4.749166877854847
5,[ 0.00026644 -0.00031862  0.06991837],(1628.9833022276039+0j),4.765946116190429
6,[-2.30894020e-07 -1.84384059e-01  0.00000000e+00],(3268.976337306781+0j),33.14346874880731
7,[-0.09952843  0.0010317  -0.00041502],(3372.693128642734+0j),9.658279416144675
8,[-0.00051546  0.00103104 -0.10044392],(3372.6932115241075+0j),9.836841679403454
